,cases,laws,marriage,other,penance,second
cases,0,2.6672502877922466,2.4546134250283105,2.3443786747951214,2.39543377659555,2.0594163564274166
laws,2.3005419988374247,0,1.3214826859304962,1.2757242908386066,1.8440182454988046,1.4251005116497049
marriage,1.6521746598099383,0.9967262508267303,0,0.669072827006729,0.9014798196052143,1.0077336022012398
other,1.4921077528881592,0.8436120165908306,0.5524365558080855,0,0.6038828732851866,0.6835431776129218
penance,1.6447750561352037,1.4997946555851611,0.949117647766635,0.7002576442511554,0,1.0296822948449453
second,1.4053261979516392,1.081079367849257,0.9825729599422984,0.758106898685138,0.965023169184195,0
