,cases,laws,marriage,other,penance,second
cases,,2.667250288,2.454613425,2.344378675,2.395433777,2.059416356
laws,2.300541999,,1.321482686,1.275724291,1.844018245,1.425100512
marriage,1.65217466,0.996726251,,0.669072827,0.90147982,1.007733602
other,1.492107753,0.843612017,0.552436556,,0.603882873,0.683543178
penance,1.644775056,1.499794656,0.949117648,0.700257644,,1.029682295
second,1.405326198,1.081079368,0.98257296,0.758106899,0.965023169,
